,movieId,title,genres,year
0,m1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995
1,m2,Jumanji (1995),Adventure|Children|Fantasy,1995
2,m3,Grumpier Old Men (1995),Comedy|Romance,1995
3,m4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995
4,m5,Father of the Bride Part II (1995),Comedy,1995
5,m6,Heat (1995),Action|Crime|Thriller,1995
6,m7,Sabrina (1995),Comedy|Romance,1995
7,m8,Tom and Huck (1995),Adventure|Children,1995
8,m9,Sudden Death (1995),Action,1995
9,m10,GoldenEye (1995),Action|Adventure|Thriller,1995
10,m11,"American President, The (1995)",Comedy|Drama|Romance,1995
11,m12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995
12,m13,Balto (1995),Adventure|Animation|Children,1995
13,m14,Nixon (1995),Drama,1995
14,m15,Cutthroat Island (1995),Action|Adventure|Romance,1995
15,m16,Casino (1995),Crime|Drama,1995
16,m17,Sense and Sensibility (1995),Drama|Romance,1995
17,m18,Four Rooms (1995),Comedy,1995
18,m19,Ace Ventura: When Nature Calls (1995),Comedy,1995
19,m20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995
20,m21,Get Shorty (1995),Comedy|Crime|Thriller,1995
21,m22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995
22,m23,Assassins (1995),Action|Crime|Thriller,1995
23,m24,Powder (1995),Drama|Sci-Fi,1995
24,m25,Leaving Las Vegas (1995),Drama|Romance,1995
25,m26,Othello (1995),Drama,1995
26,m27,Now and Then (1995),Children|Drama,1995
27,m28,Persuasion (1995),Drama|Romance,1995
28,m29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
29,m30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995
30,m31,Dangerous Minds (1995),Drama,1995
31,m32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995
32,m34,Babe (1995),Children|Drama,1995
33,m35,Carrington (1995),Drama|Romance,1995
34,m36,Dead Man Walking (1995),Crime|Drama,1995
35,m37,Across the Sea of Time (1995),Documentary|IMAX,1995
36,m38,It Takes Two (1995),Children|Comedy,1995
37,m39,Clueless (1995),Comedy|Romance,1995
38,m40,"Cry, the Beloved Country (1995)",Drama,1995
39,m41,Richard III (1995),Drama|War,1995
40,m42,Dead Presidents (1995),Action|Crime|Drama,1995
41,m43,Restoration (1995),Drama,1995
42,m44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995
43,m45,To Die For (1995),Comedy|Drama|Thriller,1995
44,m46,How to Make an American Quilt (1995),Drama|Romance,1995
45,m47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995
46,m48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995
47,m49,When Night Is Falling (1995),Drama|Romance,1995
48,m50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995
49,m52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995
50,m53,Lamerica (1994),Adventure|Drama,1994
51,m54,"Big Green, The (1995)",Children|Comedy,1995
52,m55,Georgia (1995),Drama,1995
53,m57,Home for the Holidays (1995),Drama,1995
54,m58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994
55,m59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1995
56,m60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995
57,m61,Eye for an Eye (1996),Drama|Thriller,1996
58,m62,Mr. Holland's Opus (1995),Drama,1995
59,m63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996
60,m64,Two if by Sea (1996),Comedy|Romance,1996
61,m65,Bio-Dome (1996),Comedy,1996
62,m66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996
63,m68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995
64,m69,Friday (1995),Comedy,1995
65,m70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996
66,m71,Fair Game (1995),Action,1995
67,m72,Kicking and Screaming (1995),Comedy|Drama,1995
68,m73,"Misérables, Les (1995)",Drama|War,1995
69,m74,Bed of Roses (1996),Drama|Romance,1996
70,m76,Screamers (1995),Action|Sci-Fi|Thriller,1995
71,m77,Nico Icon (1995),Documentary,1995
72,m78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995
73,m79,"Juror, The (1996)",Drama|Thriller,1996
74,m80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995
75,m81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995
76,m82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995
77,m83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995
78,m84,Last Summer in the Hamptons (1995),Comedy|Drama,1995
79,m85,Angels and Insects (1995),Drama|Romance,1995
80,m86,White Squall (1996),Action|Adventure|Drama,1996
81,m87,Dunston Checks In (1996),Children|Comedy,1996
82,m88,Black Sheep (1996),Comedy,1996
83,m89,Nick of Time (1995),Action|Thriller,1995
84,m92,Mary Reilly (1996),Drama|Horror|Thriller,1996
85,m93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995
86,m94,Beautiful Girls (1996),Comedy|Drama|Romance,1996
87,m95,Broken Arrow (1996),Action|Adventure|Thriller,1996
88,m96,In the Bleak Midwinter (1995),Comedy|Drama,1995
89,m97,"Hate (Haine, La) (1995)",Crime|Drama,1995
90,m98,Shopping (1994),Action|Thriller,1994
