Density,Cosine,Euclidean,Jacard,Pearson
0.01,422,503,409,427
0.0195,303,473,304,299
0.028999999999999998,230,445,215,222
0.0385,193,428,181,184
0.048,171,408,154,160
0.0575,149,398,133,133
0.06699999999999999,125,387,115,118
0.0765,117,381,98,111
0.086,107,371,88,98
0.09549999999999999,96,361,69,85
0.105,85,349,66,76
0.11449999999999999,79,340,56,69
0.12399999999999999,72,333,54,63
0.1335,64,327,51,56
0.14300000000000002,57,324,46,50
0.1525,53,318,42,47
0.162,49,314,40,46
0.1715,48,310,38,42
0.181,45,303,32,36
0.1905,40,295,27,30
0.2,35,290,24,30
0.2,35,290,24,30
0.25,26,257,16,22
0.30000000000000004,17,226,9,16
0.35000000000000003,7,196,7,7
0.4,6,176,5,7
0.45,4,165,4,5
0.5,4,153,4,4
0.55,3,130,4,4
0.6000000000000001,3,112,4,4
0.65,4,94,4,4
0.7,4,78,4,4
0.75,4,61,4,4
0.8,4,46,4,4
0.8500000000000001,4,35,562,4
0.9000000000000001,294,28,140,4
0.95,122,12,66,4
1.0,74,670,40,4
